title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,production_budget
Somewhere in Time,,52.0,88.0,"Oscars - COSTUME DESIGN(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",2,0,,"Oscars - COSTUME DESIGN(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",,"$5,100,000"
Terror Train,,44.0,38.0,,0,0,,,,"$3,500,000"
Boogeyman,,13.0,21.0,,0,0,,,67192859.0,"$20,000,000"
Raging Bull,Robert De Niro,92.0,93.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Editing in 1982(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",16,4,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - FILM EDITING(Won)
BAFTAs - Film | Editing in 1982(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",23417649.0,"$18,000,000"
Heaven's Gate,Willem Dafoe,57.0,54.0,Oscars - ART DIRECTION(Nominated),1,0,,Oscars - ART DIRECTION(Nominated),,"$44,000,000"
Babylon,,100.0,46.0,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)",3,0,,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)",64326615.0,"$80,000,000"
Superman II,,83.0,76.0,,0,0,,,190400000.0,"$54,000,000"
Raiders of the Lost Ark,Harrison Ford,93.0,96.0,"Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Won)
Oscars - VISUAL EFFECTS(Won)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)(Won)
Golden Globes - Best Director - Motion Picture(Nominated)",10,5,"Oscars - ART DIRECTION(Won)
Oscars - FILM EDITING(Won)
Oscars - SOUND(Won)
Oscars - VISUAL EFFECTS(Won)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",367451914.0,"$20,000,000"
Stripes,,88.0,79.0,,0,0,,,85300000.0,"$10,000,000"
Chariots of Fire,,83.0,80.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Won)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)",7,4,"Oscars - COSTUME DESIGN(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)",61924076.0,"$5,500,000"
For Your Eyes Only,,69.0,64.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",195300000.0,"$28,000,000"
The Four Seasons,,76.0,75.0,,0,0,,,42488161.0,"$6,500,000"
Time Bandits,,91.0,77.0,,0,0,,,37400000.0,"$12,000,000"
Scream,,76.0,82.0,,0,0,,,173046640.0,"$24,000,000"
Scream,,76.0,82.0,,0,0,,,173046640.0,"$15,000,000"
My Bloody Valentine,,58.0,52.0,,0,0,,,102836002.0,"$14,000,000"
Nighthawks,,71.0,55.0,,0,0,,,19600000.0,"$5,000,000"
The Howling,,74.0,60.0,,0,0,,,17985130.0,"$1,000,000"
Lion of the Desert,,75.0,93.0,,0,0,,,,"$35,000,000"
Tuck Everlasting,Ben Kingsley,60.0,70.0,,0,0,,,19344615.0,"$15,000,000"
Clash of the Titans,"Ralph Fiennes, Liam Neeson, Nicholas Hoult, Sam Worthington",64.0,70.0,,0,0,,,493214888.0,"$125,000,000"
Clash of the Titans,"Ralph Fiennes, Liam Neeson, Nicholas Hoult, Sam Worthington",64.0,70.0,,0,0,,,493214888.0,"$15,000,000"
History of the World: Part I,,61.0,81.0,,0,0,,,31672000.0,"$11,000,000"
Dragonslayer,,84.0,63.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",,"$18,000,000"
Endless Love,,26.0,51.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",34718173.0,"$20,000,000"
Blow Out,,89.0,81.0,,0,0,,,,"$18,000,000"
Under the Rainbow,Carrie Fisher,0.0,48.0,,0,0,,,18826490.0,"$20,000,000"
Das Boot,,98.0,96.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",6,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",84970337.0,"$12,000,000"
Mommie Dearest,,48.0,72.0,,0,0,,,25032000.0,"$5,000,000"
Halloween II,,33.0,63.0,,0,0,,,25533818.0,"$2,500,000"
Reds,,90.0,82.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Cinematography in 1983(Nominated)
BAFTAs - Film | Costume Design in 1983(Nominated)
BAFTAs - Film | Production Design in 1983(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",22,4,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Cinematography in 1983(Nominated)
BAFTAs - Film | Costume Design in 1983(Nominated)
BAFTAs - Film | Production Design in 1983(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",50000130.0,"$33,500,000"
Taps,,68.0,67.0,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated),35856053.0,"$14,000,000"
E.T. the Extra-Terrestrial,,99.0,72.0,,0,0,,,797307407.0,"$10,500,000"
Tootsie,,91.0,81.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Adapted Screenplay in 1984(Nominated)
BAFTAs - Film | Costume Design in 1984(Nominated)
BAFTAs - Film | Direction in 1984(Nominated)
BAFTAs - Film | Film in 1984(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",19,4,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Adapted Screenplay in 1984(Nominated)
BAFTAs - Film | Costume Design in 1984(Nominated)
BAFTAs - Film | Direction in 1984(Nominated)
BAFTAs - Film | Film in 1984(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",177200289.0,"$15,000,000"
Star Trek II: The Wrath of Khan,,87.0,90.0,,0,0,,,95800000.0,"$12,000,000"
Poltergeist,,88.0,79.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Won)",4,1,BAFTAs - Film | Special Visual Effects in 1983(Won),"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",121788932.0,"$35,000,000"
Poltergeist,,88.0,79.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Won)",4,1,BAFTAs - Film | Special Visual Effects in 1983(Won),"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",121788932.0,"$10,700,000"
The Best Little Whorehouse in Texas,,48.0,68.0,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),69701637.0,"$20,500,000"
Annie,Cameron Diaz,49.0,69.0,"Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",5,0,,"Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",139829625.0,"$65,000,000"
The Border,,65.0,52.0,,0,0,,,,"$13,500,000"
Cat People,,92.0,73.0,"Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",21000000.0,"$12,500,000"
Fantasia,,95.0,83.0,"Oscars - SPECIAL AWARD(Won)
Oscars - SPECIAL AWARD(Won)",2,2,"Oscars - SPECIAL AWARD(Won)
Oscars - SPECIAL AWARD(Won)",,83320832.0,"$2,280,000"
Diner,,92.0,77.0,"Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",2,0,,"Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",,"$5,000,000"
Conan the Barbarian,,67.0,74.0,Golden Globes - New Star Of The Year - Actress(Won),1,1,Golden Globes - New Star Of The Year - Actress(Won),,79114085.0,"$90,000,000"
Conan the Barbarian,,67.0,74.0,Golden Globes - New Star Of The Year - Actress(Won),1,1,Golden Globes - New Star Of The Year - Actress(Won),,79114085.0,"$20,000,000"
Firefox,,41.0,42.0,,0,0,,,45785720.0,"$21,000,000"
Blade Runner,Harrison Ford,89.0,91.0,"Oscars - ART DIRECTION(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Cinematography in 1983(Won)
BAFTAs - Film | Costume Design in 1983(Won)
BAFTAs - Film | Film Editing in 1983(Nominated)
BAFTAs - Film | Production Design in 1983(Won)
BAFTAs - Film | Score for a Film in 1983(Nominated)
BAFTAs - Film | Sound in 1983(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",10,3,"BAFTAs - Film | Cinematography in 1983(Won)
BAFTAs - Film | Costume Design in 1983(Won)
BAFTAs - Film | Production Design in 1983(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Film Editing in 1983(Nominated)
BAFTAs - Film | Score for a Film in 1983(Nominated)
BAFTAs - Film | Sound in 1983(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",39649582.0,"$28,000,000"
Megaforce,,6.0,44.0,,0,0,,,,"$18,000,000"
The Thing,,34.0,42.0,,0,0,,,27573078.0,"$38,000,000"
Tron,,73.0,69.0,"Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Nominated)",3,0,,"Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Special Visual Effects in 1983(Nominated)",26919100.0,"$17,000,000"
Fast Times at Ridgemont High,,78.0,80.0,,0,0,,,27093116.0,"$4,500,000"
Class of 1984,,71.0,67.0,,0,0,,,,"$3,250,000"
First Blood,,86.0,86.0,,0,0,,,125212904.0,"$14,000,000"
Q,,73.0,43.0,,0,0,,,,"$1,200,000"
The Man From Snowy River,,85.0,89.0,,0,0,,,20659721.0,"$5,000,000"
Creepshow,,66.0,69.0,,0,0,,,20036244.0,"$8,000,000"
Alone in the Dark,,1.0,11.0,,0,0,,,,"$20,000,000"
Gandhi,Ben Kingsley,89.0,92.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
BAFTAs - Film | Cinematography in 1983(Nominated)
BAFTAs - Film | Costume Design in 1983(Nominated)
BAFTAs - Film | Direction in 1983(Won)
BAFTAs - Film | Film in 1983(Won)
BAFTAs - Film | Film Editing in 1983(Nominated)
BAFTAs - Film | Most Promising Newcomer To Leading Film Roles in 1983(Won)
BAFTAs - Film | Production Design in 1983(Nominated)
BAFTAs - Film | Score for a Film in 1983(Nominated)
BAFTAs - Film | Screenplay in 1983(Nominated)
BAFTAs - Film | Sound in 1983(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)
Golden Globes - New Star Of The Year - Actor(Won)",25,15,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
BAFTAs - Film | Direction in 1983(Won)
BAFTAs - Film | Film in 1983(Won)
BAFTAs - Film | Most Promising Newcomer To Leading Film Roles in 1983(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)
Golden Globes - New Star Of The Year - Actor(Won)","Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Cinematography in 1983(Nominated)
BAFTAs - Film | Costume Design in 1983(Nominated)
BAFTAs - Film | Film Editing in 1983(Nominated)
BAFTAs - Film | Production Design in 1983(Nominated)
BAFTAs - Film | Score for a Film in 1983(Nominated)
BAFTAs - Film | Screenplay in 1983(Nominated)
BAFTAs - Film | Sound in 1983(Nominated)",127767889.0,"$22,000,000"
The Verdict,,88.0,88.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",5,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",53977250.0,"$16,000,000"
The Year of Living Dangerously,,88.0,77.0,Oscars - ACTRESS IN A SUPPORTING ROLE(Won),1,1,Oscars - ACTRESS IN A SUPPORTING ROLE(Won),,,"$6,000,000"
Flashdance,,37.0,61.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Won)
Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Editing in 1984(Won)
BAFTAs - Film | Score For A Film in 1984(Nominated)
BAFTAs - Film | Sound in 1984(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)
Golden Globes - Best Original Song - Motion Picture(Won)
Golden Globes - Best Original Song - Motion Picture(Nominated)",12,4,"Oscars - MUSIC (Original Song)(Won)
BAFTAs - Film | Editing in 1984(Won)
Golden Globes - Best Original Score - Motion Picture(Won)
Golden Globes - Best Original Song - Motion Picture(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Score For A Film in 1984(Nominated)
BAFTAs - Film | Sound in 1984(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",201463574.0,"$7,000,000"
WarGames,Matthew Broderick,94.0,76.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",3,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",74433837.0,"$12,000,000"
Octopussy,,42.0,47.0,,0,0,,,187500000.0,"$27,500,000"
Staying Alive,,0.0,40.0,Golden Globes - Best Original Song - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Song - Motion Picture(Nominated),126041474.0,"$22,000,000"
Videodrome,,83.0,80.0,,0,0,,,,"$5,952,000"
The Outsiders,,70.0,82.0,,0,0,,,25776548.0,"$10,000,000"
Lone Wolf McQuade,,57.0,67.0,,0,0,,,,"$5,000,000"
Superman III,,29.0,23.0,,0,0,,,80200000.0,"$39,000,000"
Twilight Zone: The Movie,,60.0,55.0,,0,0,,,29500000.0,"$10,000,000"
Hercules,Dwayne Johnson,82.0,76.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",250700000.0,"$100,000,000"
Hercules,Dwayne Johnson,82.0,76.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",250700000.0,"$70,000,000"
Eddie and the Cruisers,,38.0,73.0,,0,0,,,,"$5,000,000"
Never Say Never Again,,71.0,37.0,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),160000000.0,"$36,000,000"
The Dead Zone,,89.0,77.0,,0,0,,,20766000.0,"$10,000,000"
The Right Stuff,Jeff Goldblum,96.0,90.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Won)
Oscars - SOUND EFFECTS EDITING(Won)",8,4,"Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - SOUND(Won)
Oscars - SOUND EFFECTS EDITING(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - BEST PICTURE(Nominated)",21500213.0,"$27,000,000"
Under Fire,,91.0,70.0,"Oscars - MUSIC (Original Score)(Nominated)
BAFTAs - Film | Editing in 1985(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",4,0,,"Oscars - MUSIC (Original Score)(Nominated)
BAFTAs - Film | Editing in 1985(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",,"$8,000,000"
From Russia With Love,,97.0,84.0,"BAFTAs - Film | British Cinematography - Colour in 1964(Won)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,1,BAFTAs - Film | British Cinematography - Colour in 1964(Won),Golden Globes - Best Original Song - Motion Picture(Nominated),78900000.0,"$2,000,000"
Scarface,Al Pacino,79.0,93.0,"Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",3,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",45233082.0,"$25,000,000"
Yentl,,69.0,75.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Song Score or Adaptation Score)(Won)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",11,3,"Oscars - MUSIC (Original Song Score or Adaptation Score)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",39012241.0,"$12,000,000"
