title,awards_all,nomination_count,award_count,awards_won,awards_nominated
" Remains of the Day, The","Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",5,0,,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)"
 Roma (1972),Golden Globes - Foreign Film - Foreign Language(Nominated),1,0,,Golden Globes - Foreign Film - Foreign Language(Nominated)
"$1,000 a Minute",Oscars - SOUND RECORDING(Nominated),1,0,,Oscars - SOUND RECORDING(Nominated)
"$1,000,000 Duck","Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",2,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)"
'38',Oscars - FOREIGN LANGUAGE FILM(Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM(Nominated)
'Crocodile' Dundee,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated),1,0,,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
'Round Midnight,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",4,1,Oscars - MUSIC (Original Score)(Won),"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)"
"'night, Mother",Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
(500) Days of Summer,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)"
(A) Torzija [(A) Torsion],Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
...And Justice for All,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",2,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)"
10,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",7,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)"
10 North Frederick,Golden Globes - New Star Of The Year - Actor(Nominated),1,0,,Golden Globes - New Star Of The Year - Actor(Nominated)
101 Dalmatians,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
102 Dalmatians,Oscars - COSTUME DESIGN(Nominated),1,0,,Oscars - COSTUME DESIGN(Nominated)
12,Oscars - FOREIGN LANGUAGE FILM(Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM(Nominated)
12 Angry Men,"Oscars - DIRECTING(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)",3,0,,"Oscars - DIRECTING(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)"
12 Angry Men (1957),"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",4,0,,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)"
12 Angry Men (TV-1997),"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Won)",3,1,"Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Won)","Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)"
12 Monkeys,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)"
12 O'Clock High,Golden Globes - Television Series(Nominated),1,0,,Golden Globes - Television Series(Nominated)
12 Years a Slave,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Adapted Screenplay)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",16,4,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Adapted Screenplay)(Won)
Golden Globes - Best Motion Picture - Drama(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)"
127 Hours,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",9,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)"
12:01 PM,Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
13 Hours: The Secret Soldiers of Benghazi,Oscars - SOUND MIXING(Nominated),1,0,,Oscars - SOUND MIXING(Nominated)
13 Reasons Why,Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
13th,"Oscars - DOCUMENTARY (Feature)(Nominated)
BAFTAs - Film | Documentary in 2017(Won)",2,1,BAFTAs - Film | Documentary in 2017(Won),Oscars - DOCUMENTARY (Feature)(Nominated)
140 Days under the World,Oscars - DOCUMENTARY (Short Subject)(Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject)(Nominated)
1492: Conquest Of Paradise,Golden Globes - Best Original Score - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Score - Motion Picture(Nominated)
1776,"Oscars - CINEMATOGRAPHY(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",2,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)"
1848,Oscars - DOCUMENTARY (Short Subject)(Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject)(Nominated)
1917,"Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2020(Won)
BAFTAs - Film | Cinematography in 2020(Won)
BAFTAs - Film | Director in 2020(Won)
BAFTAs - Film | Make Up & Hair in 2020(Nominated)
BAFTAs - Film | Original Score in 2020(Nominated)
BAFTAs - Film | Outstanding British Film in 2020(Won)
BAFTAs - Film | Production Design in 2020(Won)
BAFTAs - Film | Sound in 2020(Won)
BAFTAs - Film | Special Visual Effects in 2020(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Original Score - Motion Picture(Nominated)",22,12,"Oscars - CINEMATOGRAPHY(Won)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)
BAFTAs - Film | Best Film in 2020(Won)
BAFTAs - Film | Cinematography in 2020(Won)
BAFTAs - Film | Director in 2020(Won)
BAFTAs - Film | Outstanding British Film in 2020(Won)
BAFTAs - Film | Production Design in 2020(Won)
BAFTAs - Film | Sound in 2020(Won)
BAFTAs - Film | Special Visual Effects in 2020(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - DIRECTING(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Make Up & Hair in 2020(Nominated)
BAFTAs - Film | Original Score in 2020(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)"
1941,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",3,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)"
1972 Summer Olympics,Golden Globes - Television Special - Variety Or Musical(Nominated),1,0,,Golden Globes - Television Special - Variety Or Musical(Nominated)
1984,BAFTAs - Film | Production Design in 1985(Nominated),1,0,,BAFTAs - Film | Production Design in 1985(Nominated)
20 Days in Mariupol,Oscars - DOCUMENTARY FEATURE FILM(Won),1,1,Oscars - DOCUMENTARY FEATURE FILM(Won),
20 Feet from Stardom,Oscars - DOCUMENTARY (Feature)(Won),1,1,Oscars - DOCUMENTARY (Feature)(Won),
"20,000 Leagues under the Sea","Oscars - ART DIRECTION (Color)(Won)
Oscars - FILM EDITING(Nominated)
Oscars - SPECIAL EFFECTS(Won)",3,2,"Oscars - ART DIRECTION (Color)(Won)
Oscars - SPECIAL EFFECTS(Won)",Oscars - FILM EDITING(Nominated)
2001: A Space Odyssey,"Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - SPECIAL VISUAL EFFECTS(Won)
Oscars - WRITING (Story and Screenplay--written directly for the screen)(Nominated)
BAFTAs - Film | Art Direction in 1969(Won)
BAFTAs - Film | British Cinematography in 1969(Won)
BAFTAs - Film | Film in 1969(Nominated)
BAFTAs - Film | Soundtrack in 1969(Won)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1969(Nominated)",9,4,"Oscars - SPECIAL VISUAL EFFECTS(Won)
BAFTAs - Film | Art Direction in 1969(Won)
BAFTAs - Film | British Cinematography in 1969(Won)
BAFTAs - Film | Soundtrack in 1969(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - WRITING (Story and Screenplay--written directly for the screen)(Nominated)
BAFTAs - Film | Film in 1969(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1969(Nominated)"
2010,"Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",5,0,,"Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)"
20th Century Women,"Oscars - WRITING (Original Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",3,0,,"Oscars - WRITING (Original Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)"
21 Grams,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)"
227 (TV Series)     ,"Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)",1,0,,"Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)"
23 Skidoo,"BAFTAs - Film | Short Film in 1965(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1965(Nominated)",2,0,,"BAFTAs - Film | Short Film in 1965(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1965(Nominated)"
24,"Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Won)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Television Series - Drama(Won)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)",12,2,"Golden Globes - Best Performance by an Actor In A Television Series - Drama(Won)
Golden Globes - Best Television Series - Drama(Won)","Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)"
24-Hour Alert,Oscars - SHORT SUBJECT (Two-reel)(Nominated),1,0,,Oscars - SHORT SUBJECT (Two-reel)(Nominated)
25th Hour,Golden Globes - Best Original Score - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Score - Motion Picture(Nominated)
28 Up,BAFTAs - Film | Flaherty Documentary Award in 1985(Won),1,1,BAFTAs - Film | Flaherty Documentary Award in 1985(Won),
3 Misses,Oscars - SHORT FILM (Animated)(Nominated),1,0,,Oscars - SHORT FILM (Animated)(Nominated)
3-2-1-Zero,BAFTAs - Film | Documentary in 1955(Nominated),1,0,,BAFTAs - Film | Documentary in 1955(Nominated)
3.10 To Yuma,BAFTAs - Film | Film From Any Source in 1958(Nominated),1,0,,BAFTAs - Film | Film From Any Source in 1958(Nominated)
30 Rock,"Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)",17,6,"Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)","Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)"
3:10 to Yuma,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND MIXING(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND MIXING(Nominated)"
3rd Ave. El,Oscars - SHORT SUBJECT (One-reel)(Nominated),1,0,,Oscars - SHORT SUBJECT (One-reel)(Nominated)
3rd Rock From The Sun,"Golden Globes - Best Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)",6,2,"Golden Globes - Best Television Series - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Won)","Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Television Series - Musical or Comedy(Nominated)"
4 Little Girls,Oscars - DOCUMENTARY (Feature)(Nominated),1,0,,Oscars - DOCUMENTARY (Feature)(Nominated)
4.1 Miles,Oscars - DOCUMENTARY (Short Subject)(Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject)(Nominated)
40 Carats,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
42nd Street,"Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - SOUND RECORDING(Nominated)",2,0,,"Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - SOUND RECORDING(Nominated)"
45 Years,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
BAFTAs - Film | Outstanding British Film in 2016(Nominated)",2,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
BAFTAs - Film | Outstanding British Film in 2016(Nominated)"
48 Hrs.,Golden Globes - New Star Of The Year - Actor(Nominated),1,0,,Golden Globes - New Star Of The Year - Actor(Nominated)
5 Broken Cameras,Oscars - DOCUMENTARY (Feature)(Nominated),1,0,,Oscars - DOCUMENTARY (Feature)(Nominated)
5 Fingers,Golden Globes - Best Screenplay - Motion Picture(Won),1,1,Golden Globes - Best Screenplay - Motion Picture(Won),
50/50,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)"
55 Days at Peking,"Oscars - MUSIC (Music Score--substantially original)(Nominated)
Oscars - MUSIC (Song)(Nominated)",2,0,,"Oscars - MUSIC (Music Score--substantially original)(Nominated)
Oscars - MUSIC (Song)(Nominated)"
60 Cycles,BAFTAs - Film | Short Film in 1966(Nominated),1,0,,BAFTAs - Film | Short Film in 1966(Nominated)
60 Minutes,Golden Globes - Best Television Series - Drama(Won),1,1,Golden Globes - Best Television Series - Drama(Won),
61*,Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)
7 Faces of Dr. Lao,Oscars - SPECIAL VISUAL EFFECTS(Nominated),1,0,,Oscars - SPECIAL VISUAL EFFECTS(Nominated)
7 Faces of Dr. Lao.,Oscars - HONORARY AWARD(Won),1,1,Oscars - HONORARY AWARD(Won),
73 Cows,BAFTAs - Film | British Short Film in 2019(Won),1,1,BAFTAs - Film | British Short Film in 2019(Won),
77 Sunset Strip,Golden Globes - Television Achievement(Won),1,1,Golden Globes - Television Achievement(Won),
79 Park Avenue,Golden Globes - Best Performance by an Actress In A Television Series - Drama(Won),1,1,Golden Globes - Best Performance by an Actress In A Television Series - Drama(Won),
7:35 in the Morning (7:35 de la Mañana),Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
7th Heaven,"Oscars - ACTRESS(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING (Dramatic Picture)(Won)
Oscars - OUTSTANDING PICTURE(Nominated)
Oscars - WRITING (Adaptation)(Won)",5,3,"Oscars - ACTRESS(Won)
Oscars - DIRECTING (Dramatic Picture)(Won)
Oscars - WRITING (Adaptation)(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - OUTSTANDING PICTURE(Nominated)"
8 Mile,"Oscars - MUSIC (Original Song)(Won)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,1,Oscars - MUSIC (Original Song)(Won),Golden Globes - Best Original Song - Motion Picture(Nominated)
84 Charing Cross Road,BAFTAs - Film | Adapted Screenplay in 1988(Nominated),1,0,,BAFTAs - Film | Adapted Screenplay in 1988(Nominated)
89mm od Europy (89mm from Europe),Oscars - DOCUMENTARY (Short Subject)(Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject)(Nominated)
8½,BAFTAs - Film | Film From Any Source in 1964(Nominated),1,0,,BAFTAs - Film | Film From Any Source in 1964(Nominated)
9,Oscars - SHORT FILM (Animated)(Nominated),1,0,,Oscars - SHORT FILM (Animated)(Nominated)
90 Degrees In The Shade,Golden Globes - Foreign Film - English Language(Nominated),1,0,,Golden Globes - Foreign Film - English Language(Nominated)
99 Homes,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
99 and 44/100% Dead,Golden Globes - New Star Of The Year - Actress(Nominated),1,0,,Golden Globes - New Star Of The Year - Actress(Nominated)
A Beautiful Day in the Neighborhood,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
