title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
hamlet,Drama,100%,91%,"Oscars - ACTOR (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - COSTUME DESIGN (Black-and-White) (Won)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - BEST MOTION PICTURE (Won)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | British Film in 1949 (Nominated)
BAFTAs - Film | Film From Any Source in 1949 (Won)",15,5,"Oscars - ACTOR (Won)
Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - COSTUME DESIGN (Black-and-White) (Won)
Oscars - BEST MOTION PICTURE (Won)
BAFTAs - Film | Film From Any Source in 1949 (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | British Film in 1949 (Nominated)","$22,493,727"
carmen,,78%,,"Oscars - FOREIGN LANGUAGE FILM (Nominated)
BAFTAs - Film | Foreign Language Film in 1985 (Won)
BAFTAs - Film | Score For A Film in 1985 (Nominated)
BAFTAs - Film | Sound in 1985 (Nominated)
BAFTAs - Film | Foreign Language Film in 1986 (Nominated)
BAFTAs - Film | Sound in 1986 (Nominated)",6,1,BAFTAs - Film | Foreign Language Film in 1985 (Won),"Oscars - FOREIGN LANGUAGE FILM (Nominated)
BAFTAs - Film | Score For A Film in 1985 (Nominated)
BAFTAs - Film | Sound in 1985 (Nominated)
BAFTAs - Film | Foreign Language Film in 1986 (Nominated)
BAFTAs - Film | Sound in 1986 (Nominated)",
oliver twist,Drama,,,BAFTAs - Film | British Film in 1949 (Nominated),1,0,,BAFTAs - Film | British Film in 1949 (Nominated),"$26,670,920"
macbeth,"Crime,Drama",,,BAFTAs - Film | Anthony Asquith Memorial Award in 1973 (Nominated),1,0,,BAFTAs - Film | Anthony Asquith Memorial Award in 1973 (Nominated),
the prisoner of zenda,Adventure,,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Scoring) (Nominated)",2,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Scoring) (Nominated)",
robin hood,Adventure,,,Oscars - MUSIC (Song) (Nominated),1,0,,Oscars - MUSIC (Song) (Nominated),"$322,459,006"
aftermath,Drama,82%,80%,,0,0,,,
anna karenina,Drama,,70%,"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",5,1,Oscars - COSTUME DESIGN (Won),"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$71,004,627"
born again,Drama,,,,0,0,,,
cinderella,"Drama,Fantasy",98%,80%,"Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)
Oscars - SOUND RECORDING (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Costume Design in 2016 (Nominated)",5,0,,"Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)
Oscars - SOUND RECORDING (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Costume Design in 2016 (Nominated)","$542,351,353"
the crucible,"Drama,Romance",,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)",
dope,Drama,,,,0,0,,,"$18,190,831"
nightmare,,,50%,,0,0,,,
the pit,Drama,,38%,,0,0,,,
samson,Drama,,40%,,0,0,,,
the spy,"Drama,War",,,,0,0,,,
the thief,Drama,,,"Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)
Golden Globes - Cinematography - Black And White (Nominated)",7,0,,"Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)
Golden Globes - Cinematography - Black And White (Nominated)",
the three musketeers,Drama,,,"Oscars - CINEMATOGRAPHY (Color) (Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1975 (Nominated)
BAFTAs - Film | Art Direction in 1975 (Nominated)
BAFTAs - Film | Cinematography in 1975 (Nominated)
BAFTAs - Film | Costume Design in 1975 (Nominated)
BAFTAs - Film | Film Editing in 1975 (Nominated)",6,0,,"Oscars - CINEMATOGRAPHY (Color) (Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1975 (Nominated)
BAFTAs - Film | Art Direction in 1975 (Nominated)
BAFTAs - Film | Cinematography in 1975 (Nominated)
BAFTAs - Film | Costume Design in 1975 (Nominated)
BAFTAs - Film | Film Editing in 1975 (Nominated)","$139,877,913"
vendetta,Drama,,,,0,0,,,
wildflower,"Drama,Romance",63%,93%,,0,0,,,
the woman in black,"Drama,Romance",100%,78%,,0,0,,,"$128,955,898"
alice in wonderland,"Adventure,Family,Fantasy",,,"Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - ART DIRECTION (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - VISUAL EFFECTS (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",7,2,"Oscars - ART DIRECTION (Won)
Oscars - COSTUME DESIGN (Won)","Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - VISUAL EFFECTS (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$1,025,491,110"
the birth of a nation,"Drama,War",91%,47%,,0,0,,,
the boss,Drama,,,,0,0,,,"$78,652,207"
the dictator,"Adventure,Romance",,,,0,0,,,"$180,148,897"
an eye for an eye,Drama,,,,0,0,,,
fatherhood,Western,,,,0,0,,,
the fifth commandment,Drama,,25%,,0,0,,,
four feathers,Drama,,100%,Oscars - CINEMATOGRAPHY (Color) (Nominated),1,0,,Oscars - CINEMATOGRAPHY (Color) (Nominated),
the lamb,"Adventure,Comedy,Western",,,,0,0,,,
the quest,"Action,Adventure,Drama",,,,0,0,,,"$21,607,190"
the raven,"Biography,Drama",,41%,,0,0,,,"$30,601,801"
the red circle,Drama,96%,92%,,0,0,,,
rumpelstiltskin,Fantasy,,,,0,0,,,
scandal,Drama,,,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated),
vanity fair,Drama,51%,50%,,0,0,,,"$19,123,851"
the vow,Drama,,,,0,0,,,"$197,618,160"
the way back,Crime,74%,72%,Oscars - MAKEUP (Nominated),1,0,,Oscars - MAKEUP (Nominated),"$26,524,989"
ambition,Drama,,,,0,0,,,
the beast,"Comedy,Drama,Romance",,,,0,0,,,
black friday,"Drama,History",100%,52%,,0,0,,,
the challenge,Drama,,60%,,0,0,,,
the deserter,"Adventure,Western",,,,0,0,,,
driven,Drama,64%,62%,,0,0,,,"$54,616,869"
the devil's double,Western,55%,64%,,0,0,,,
iris,"Drama,Romance",,,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)",6,2,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)","Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",
the iron claw,"Action,Adventure",100%,100%,,0,0,,,"$46,140,822"
king lear,Drama,,,,0,0,,,
the kiss,"Comedy,Drama",,,Oscars - SHORT SUBJECT (Live Action) (Nominated),1,0,,Oscars - SHORT SUBJECT (Live Action) (Nominated),
motherhood,Drama,20%,16%,,0,0,,,
the net,"Crime,Drama",,,,0,0,,,"$110,521,733"
the other side of the door,Romance,36%,29%,,0,0,,,
the patriot,Western,100%,58%,"Oscars - ACTOR (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - OUTSTANDING PICTURE (Nominated)
Oscars - WRITING (Won)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND (Nominated)",8,1,Oscars - WRITING (Won),"Oscars - ACTOR (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - OUTSTANDING PICTURE (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND (Nominated)","$215,300,000"
playing with fire,Drama,,50%,,0,0,,,
powder,"Drama,War",50%,69%,,0,0,,,"$30,833,914"
redeeming love,Drama,11%,95%,,0,0,,,
romeo and juliet,Drama,,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - DIRECTING (Nominated)
Oscars - BEST PICTURE (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Won)
Golden Globes - New Star Of The Year - Actor (Won)
Golden Globes - Foreign Film - English Language (Won)",13,5,"Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Won)
Golden Globes - New Star Of The Year - Actress (Won)
Golden Globes - New Star Of The Year - Actor (Won)
Golden Globes - Foreign Film - English Language (Won)","Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - BEST PICTURE (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$38,907,647"
she,"Fantasy,Sci-Fi",,24%,Oscars - DANCE DIRECTION (Nominated),1,0,,Oscars - DANCE DIRECTION (Nominated),
sherlock holmes,"Crime,Mystery",,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Won)",3,1,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Won),"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Original Score) (Nominated)","$498,438,212"
vice versa,"Comedy,Fantasy",,40%,,0,0,,,
the witch,Drama,,,,0,0,,,"$40,364,725"
the clock,Comedy,100%,83%,,0,0,,,
a doll's house,Drama,,,BAFTAs - Film | Costume Design in 1974 (Nominated),1,0,,BAFTAs - Film | Costume Design in 1974 (Nominated),
down to earth,"Comedy,Romance",,,,0,0,,,"$71,172,251"
easy money,Drama,,,,0,0,,,"$29,309,766"
envy,Drama,,15%,,0,0,,,
fighting mad,"Drama,Western",,,,0,0,,,
glory,"Comedy,Drama",,,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Won)
Oscars - FILM EDITING (Nominated)
Oscars - SOUND (Won)
BAFTAs - Film | Cinematography in 1991 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",11,4,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - SOUND (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)","Oscars - ART DIRECTION (Nominated)
Oscars - FILM EDITING (Nominated)
BAFTAs - Film | Cinematography in 1991 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$26,828,365"
great expectations,Drama,,,"Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - CINEMATOGRAPHY (Black-and-White) (Won)
Oscars - DIRECTING (Nominated)
Oscars - BEST MOTION PICTURE (Nominated)
Oscars - WRITING (Screenplay) (Nominated)",5,2,"Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - CINEMATOGRAPHY (Black-and-White) (Won)","Oscars - DIRECTING (Nominated)
Oscars - BEST MOTION PICTURE (Nominated)
Oscars - WRITING (Screenplay) (Nominated)","$55,406,438"
the hand that rocks the cradle,Drama,66%,61%,,0,0,,,"$88,036,724"
house of cards,Drama,,,"Golden Globes - Best Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama (Won)
Golden Globes - Best Performance by an Actor In A Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama (Won)
Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated)",8,2,"Golden Globes - Best Performance by an Actress In A Television Series - Drama (Won)
Golden Globes - Best Performance by an Actor In A Television Series - Drama (Won)","Golden Globes - Best Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actor In A Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated)",
jack and the beanstalk,Fantasy,,72%,,0,0,,,
a little princess,Drama,,100%,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)",2,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)",
love letters,"Drama,Mystery",,,"Oscars - ACTRESS (Nominated)
Oscars - ART DIRECTION (Black-and-White) (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)",4,0,,"Oscars - ACTRESS (Nominated)
Oscars - ART DIRECTION (Black-and-White) (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)",
magic,,87%,64%,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated),"$23,800,000"
the midnight man,"Crime,Drama",,,,0,0,,,
pride,Drama,47%,72%,Golden Globes - Best Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Motion Picture - Musical or Comedy (Nominated),
the rescue,Drama,,,,0,0,,,
the scarlet letter,Drama,,,,0,0,,,
the scarlet pimpernel,Adventure,,,,0,0,,,
tom sawyer,"Adventure,Comedy,Drama",,,"Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",5,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",
the awakening,Drama,,43%,Oscars - ART DIRECTION (Nominated),1,0,,Oscars - ART DIRECTION (Nominated),
the blue bird,"Family,Fantasy",,,"Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - SPECIAL EFFECTS (Nominated)",2,0,,"Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - SPECIAL EFFECTS (Nominated)",
the claim,Drama,62%,48%,,0,0,,,
the eagle,"Crime,Thriller,Western",83%,71%,,0,0,,,"$38,993,548"
the house of mirth,Drama,82%,72%,,0,0,,,
kiss or kill,"Crime,Drama",83%,76%,,0,0,,,
the lie,Drama,74%,48%,,0,0,,,
little women,"Drama,Family,Romance",,,"Oscars - DIRECTING (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - WRITING (Adaptation) (Won)
Oscars - ART DIRECTION (Color) (Won)
Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
BAFTAs - Film | Costume Design in 1995 (Nominated)
BAFTAs - Film | Adapted Screenplay in 2020 (Nominated)
BAFTAs - Film | Costume Design in 2020 (Won)
BAFTAs - Film | Original Score in 2020 (Nominated)
BAFTAs - Film | Supporting Actress in 2020 (Nominated)
Golden Globes - Television Movie (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",22,4,"Oscars - WRITING (Adaptation) (Won)
Oscars - ART DIRECTION (Color) (Won)
Oscars - COSTUME DESIGN (Won)
BAFTAs - Film | Costume Design in 2020 (Won)","Oscars - DIRECTING (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
BAFTAs - Film | Costume Design in 1995 (Nominated)
BAFTAs - Film | Adapted Screenplay in 2020 (Nominated)
BAFTAs - Film | Original Score in 2020 (Nominated)
BAFTAs - Film | Supporting Actress in 2020 (Nominated)
Golden Globes - Television Movie (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$218,838,386"
the mask,"Comedy,Drama",67%,,"Oscars - VISUAL EFFECTS (Nominated)
BAFTAs - Film | Make-Up And Hair in 1995 (Nominated)
BAFTAs - Film | Production Design in 1995 (Nominated)",3,0,,"Oscars - VISUAL EFFECTS (Nominated)
BAFTAs - Film | Make-Up And Hair in 1995 (Nominated)
BAFTAs - Film | Production Design in 1995 (Nominated)","$351,814,301"
midnight madness,Mystery,,70%,,0,0,,,
missing,"Drama,War",,56%,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium) (Won)
BAFTAs - Film | Direction in 1983 (Nominated)
BAFTAs - Film | Film in 1983 (Nominated)
BAFTAs - Film | Film Editing in 1983 (Won)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
BAFTAs - Film | Screenplay in 1983 (Won)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)",14,3,"Oscars - WRITING (Screenplay Based on Material from Another Medium) (Won)
BAFTAs - Film | Film Editing in 1983 (Won)
BAFTAs - Film | Screenplay in 1983 (Won)","Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - BEST PICTURE (Nominated)
BAFTAs - Film | Direction in 1983 (Nominated)
BAFTAs - Film | Film in 1983 (Nominated)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$46,537,213"
neighbors,"Comedy,Drama",,,,0,0,,,"$270,944,428"
no man's land,"Drama,War",93%,92%,Oscars - FOREIGN LANGUAGE FILM (Won),1,1,Oscars - FOREIGN LANGUAGE FILM (Won),,
othello,"Drama,Romance",,,"Oscars - ACTOR (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Foreign Film - English Language (Nominated)",8,0,,"Oscars - ACTOR (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Foreign Film - English Language (Nominated)",
the other woman,Drama,,,,0,0,,,"$194,270,103"
over the top,"Drama,War",32%,49%,,0,0,,,
resurrection,Drama,,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",3,0,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",
revenge,Western,0%,12%,Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated),1,0,,Golden Globes - Best Performance by an Actress In A Television Series - Drama (Nominated),
treasure island,"Adventure,Drama",82%,,,0,0,,,
vengeance,Drama,,,,0,0,,,
atonement,"Drama,Romance",83%,80%,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Score) (Won)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Won)",14,3,"Oscars - MUSIC (Original Score) (Won)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Original Score - Motion Picture (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$129,779,728"
the best man,"Adventure,Comedy",72%,86%,Oscars - ACTOR IN A SUPPORTING ROLE (Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE (Nominated),"$34,572,780"
deliverance,"Biography,Drama",89%,82%,"Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
BAFTAs - Film | Film Editing in 1973 (Nominated)
BAFTAs - Film | Soundtrack in 1973 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",10,0,,"Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
BAFTAs - Film | Film Editing in 1973 (Nominated)
BAFTAs - Film | Soundtrack in 1973 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$46,122,355"
